2023-03-02 11:57:50,186 INFO    StreamThr :406987 [internal.py:wandb_internal():90] W&B internal server running at pid: 406987, started at: 2023-03-02 11:57:50.185948
2023-03-02 11:57:50,186 DEBUG   HandlerThread:406987 [handler.py:handle_request():144] handle_request: status
2023-03-02 11:57:50,189 INFO    WriterThread:406987 [datastore.py:open_for_write():85] open: /home/quantumiracle/research/humanRL_prior_games/wandb/run-20230302_115750-s8v1s1v7/run-s8v1s1v7.wandb
2023-03-02 11:57:50,190 DEBUG   SenderThread:406987 [sender.py:send():336] send: header
2023-03-02 11:57:50,206 DEBUG   SenderThread:406987 [sender.py:send():336] send: run
2023-03-02 11:57:50,439 DEBUG   HandlerThread:406987 [handler.py:handle_request():144] handle_request: check_version
2023-03-02 11:57:50,440 INFO    SenderThread:406987 [dir_watcher.py:__init__():216] watching files in: /home/quantumiracle/research/humanRL_prior_games/wandb/run-20230302_115750-s8v1s1v7/files
2023-03-02 11:57:50,440 INFO    SenderThread:406987 [sender.py:_start_run_threads():1070] run started: s8v1s1v7 with start time 1677776270.186713
2023-03-02 11:57:50,440 DEBUG   SenderThread:406987 [sender.py:send_request():363] send_request: summary_record
2023-03-02 11:57:50,440 INFO    SenderThread:406987 [sender.py:_save_file():1321] saving file wandb-summary.json with policy end
2023-03-02 11:57:50,440 DEBUG   SenderThread:406987 [sender.py:send_request():363] send_request: check_version
2023-03-02 11:57:50,489 DEBUG   HandlerThread:406987 [handler.py:handle_request():144] handle_request: run_start
2023-03-02 11:57:50,495 DEBUG   HandlerThread:406987 [system_info.py:__init__():31] System info init
2023-03-02 11:57:50,495 DEBUG   HandlerThread:406987 [system_info.py:__init__():46] System info init done
2023-03-02 11:57:50,496 INFO    HandlerThread:406987 [system_monitor.py:start():151] Starting system monitor
2023-03-02 11:57:50,496 INFO    SystemMonitor:406987 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-03-02 11:57:50,496 INFO    HandlerThread:406987 [system_monitor.py:probe():172] Collecting system info
2023-03-02 11:57:50,496 INFO    SystemMonitor:406987 [interfaces.py:start():168] Started cpu
2023-03-02 11:57:50,496 INFO    SystemMonitor:406987 [interfaces.py:start():168] Started disk
2023-03-02 11:57:50,496 INFO    SystemMonitor:406987 [interfaces.py:start():168] Started gpu
2023-03-02 11:57:50,497 INFO    SystemMonitor:406987 [interfaces.py:start():168] Started memory
2023-03-02 11:57:50,497 INFO    SystemMonitor:406987 [interfaces.py:start():168] Started network
2023-03-02 11:57:50,506 DEBUG   HandlerThread:406987 [system_info.py:probe():195] Probing system
2023-03-02 11:57:50,507 DEBUG   HandlerThread:406987 [system_info.py:_probe_git():180] Probing git
2023-03-02 11:57:50,521 DEBUG   HandlerThread:406987 [system_info.py:_probe_git():188] Probing git done
2023-03-02 11:57:50,522 DEBUG   HandlerThread:406987 [system_info.py:probe():241] Probing system done
